dia;hora;plataforma;pilar;formato;producto;hook;desarrollo;cta;toma
1;15:00;TikTok e Instagram Reels;deseo_producto;reveal de 12 segundos;Colombia Local 2026;Esta camiseta se entiende mejor cuando la ves moverse;Muestra frente espalda y caida con tres cortes al ritmo del audio;Mira tallas y disponibilidad en herencia90.shop;Plano cuerpo entero y dos acercamientos
1;20:00;TikTok e Instagram Reels;confianza_proceso;macro de calidad;Colombia Local 2026;No compres una camiseta sin mirar estas tres zonas;Enseña cuello costura lateral y textura sin afirmar licencia;Conoce los detalles en herencia90.shop y usa WhatsApp si necesitas ayuda;Macro con luz lateral y mano senalando
2;15:00;TikTok e Instagram Reels;nostalgia;historia en 20 segundos;Colombia Retro 1990;Antes de James hubo una generacion que nos hizo sonar;Conecta el diseno de 1990 con Valderrama Rincon e Higuita;Descubre la coleccion retro en herencia90.shop;Camiseta colgada con recortes de texto en pantalla
2;20:00;TikTok e Instagram Reels;deseo_producto;transicion de outfit;Colombia Visitante 2026 Azul;La camiseta de Colombia que no parece la de siempre;Pasa de prenda en mano a look con jean oscuro y tenis blancos;Consulta disponibilidad en herencia90.shop;Transicion tapando lente y plano caminando
3;15:00;TikTok e Instagram Reels;deseo_producto;prueba de silueta;Colombia Mujer 2026;Una camiseta de seleccion tambien puede tener una silueta limpia;Muestra corte femenino de frente perfil y espalda sin retocar el ajuste;Revisa la guia de tallas en herencia90.shop;Modelo real frente a fondo neutro
3;20:00;TikTok e Instagram Reels;interaccion;duelo visual;Colombia Local vs Visitante 2026;Solo puedes elegir una amarilla o azul;Alterna ambas prendas cada dos segundos y deja votar;Comenta amarilla o azul y mira ambas en herencia90.shop;Split screen con mismo encuadre
4;15:00;TikTok e Instagram Reels;confianza_proceso;guia rapida;Guia de tallas HERENCIA90;La talla de la etiqueta no siempre cuenta toda la historia;Explica pecho largo y diferencia de corte con cinta metrica;Abre la guia en herencia90.shop y pide apoyo por WhatsApp;Plano cenital con cinta y texto grande
4;20:00;TikTok e Instagram Reels;nostalgia;micro relato;Colombia Retro 1990 Roja;La roja de Colombia que muchos siguen buscando;Cuenta por que la visitante de Italia 90 se volvio una pieza emocional;Encuentrala en la coleccion retro de herencia90.shop;Luz roja suave y giro lento de la prenda
5;15:00;TikTok e Instagram Reels;deseo_producto;outfit urbano;Real Madrid Local 2026-27;Blanca pero imposible de ignorar;Arma un look diario sin pantaloneta de futbol;Mira tallas en herencia90.shop;Plano espejo y detalle del cuello
5;20:00;TikTok e Instagram Reels;deseo_producto;reveal de temporada;Barcelona Local 2026-27;La nueva temporada llego para los que visten blaugrana todo el ano;Muestra colores caida y espalda con cortes rapidos;Descubrela en herencia90.shop;Perchero a cuerpo con giro de 180 grados
